section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,1,1767938491614601825,1767938491714717825,100,581.517,731.575,-15.80143519646188,-10.187805029064863
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,2,1767938491854842825,1767938492130092825,275,972.023,857.35,9.897564320589423,-18.344409201833518
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,3,1767938492200091825,1767938492350216825,150,909.243,1056.386,6.11829626359845,-31.09929870002731
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,4,1767938492420341825,1767938492595466825,175,654.302,707.292,-11.049821260925421,-8.71685837389532
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,5,1767938492985840825,1767938493286090825,300,815.94,683.138,-0.5263071408107082,-7.229513911993068
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,6,1767938493356215825,1767938493446339825,90,923.272,506.033,6.445514055271084,4.2429823737659245
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,7,1767938493501339825,1767938493876714825,375,1013.632,330.587,12.57201389112864,15.470084108960949
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,8,1767938493991838825,1767938494477213825,485,1051.081,730.028,14.832368824617419,-10.12297245346186
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,9,1767938494517213825,1767938494657462825,140,1100.51,830.498,18.3461968634049,-16.40686623680569
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,10,1767938494742462825,1767938494987712825,245,1036.532,341.28,14.056630973287618,14.753377443455495
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,11,1767938495012726825,1767938495543211825,530,1009.766,324.641,12.331107031787084,15.855825859465998
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,12,1767938495608336825,1767938495848460825,240,942.303,591.563,7.667197102771309,-1.2911558230915434
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,13,1767938495888585825,1767938496118710825,230,873.311,580.097,3.195197366928846,-0.5525533862404509
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,14,1767938496163835825,1767938497064583825,901,990.846,593.578,10.808799971444945,-1.4150965413707735
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,15,1767938497094708825,1767938497319833825,225,977.481,576.128,9.943164613330413,-0.2917046429747664
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,16,1767938497334833825,1767938497745332825,410,991.36,581.432,10.840783512375914,-0.6326500486345427
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,17,1767938497795332825,1767938497895457825,100,1008.531,470.105,12.000843503218588,6.528910560507031
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,18,1767938497945457825,1767938498581081825,636,1004.146,571.127,11.667050882700831,0.03152566384752083
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,19,1767938498656080825,1767938498906330825,250,1022.295,330.758,13.144394057425162,15.446641020028048
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,20,1767938498966455825,1767938499156580825,190,825.89,463.158,0.12160705335951529,7.0322616460489655
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,21,1767938499291705825,1767938499581954825,290,988.481,740.248,10.766687374602164,-10.842998476385233
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,22,1767938499657079825,1767938500157453825,500,967.299,402.458,9.392193094373262,10.908772027124458
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,23,1767938500222578825,1767938500582952825,360,760.917,491.319,-4.101157161127022,5.200291676415676
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,24,1767938500738077825,1767938501108452825,370,792.782,540.25,-2.0274209672198236,2.03168793572236
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,25,1767938501133452825,1767938501343576825,210,770.388,553.844,-3.478252667028596,1.149485019311734
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,26,1767938501458701825,1767938501628826825,170,479.216,869.86,-22.962144946307433,-18.656373206687437
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,27,1767938501673951825,1767938501959200825,285,609.232,1002.32,-14.932304284262177,-27.36271519779123
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,28,1767938502064325825,1767938502604824825,540,924.73,629.649,6.535622535891282,-3.7561999453108026
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,29,1767938502689824825,1767938502784949825,95,888.86,690.692,4.225476336675101,-7.710651652569437
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,30,1767938502995198825,1767938503105210825,110,843.967,1152.726,1.5491743713692578,-37.32931592168842
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,31,1767938503120325825,1767938503260448825,140,806.849,1168.726,-1.2519202913513863,-38.359135417874846
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,32,1767938503275452825,1767938503345448825,70,813.902,1132.703,-0.7085755632915853,-36.03713079794154
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,33,1767938503360457825,1767938503510578825,150,828.465,1097.484,0.35980448638361895,-33.77686774758712
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,34,1767938503585698825,1767938503961072825,375,889.114,1142.741,4.914695134687919,-36.656849204599915
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,35,1767938503981072825,1767938504111197825,130,878.775,1164.285,4.202095452994134,-38.05683487820932
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,36,1767938504161197825,1767938504336447825,175,889.683,1167.372,5.039943113690984,-38.24567529512448
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,37,1767938504376446825,1767938504841821825,465,824.777,1204.599,0.1230252983243828,-40.69095655717462
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,38,1767938504946945825,1767938505287320825,340,775.242,1217.193,-3.7632979668173316,-41.477571646812656
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,39,1767938505297320825,1767938505632569825,335,771.38,1223.094,-4.082550897433115,-41.8565566718466
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,40,1767938505777694825,1767938506613568825,836,833.639,610.498,0.6228731321652766,-2.524882152737207
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,41,1767938506733568825,1767938506803692825,70,820.763,1106.647,-0.2009098313124614,-34.363920606328726
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,42,1767938507118942825,1767938507424316825,305,946.303,880.82,8.227941472859067,-19.873342670040692
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,43,1767938507454316825,1767938507829691825,375,996.356,871.255,11.559475947876939,-19.19272910891404
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,44,1767938507964819825,1767938508320077825,355,939.473,623.014,7.489729660298408,-3.3241912265448708
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,45,1767938508350065825,1767938508890564825,540,967.157,687.728,9.320250331303079,-7.48661381960544
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,46,1767938508970689825,1767938509170943825,200,1226.323,498.517,26.027893334823503,4.571595432346173
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,47,1767938509250949825,1767938509676313825,425,969.903,684.978,9.496528079466687,-7.308095456808734
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,48,1767938509816438825,1767938510116812825,300,407.687,547.716,-26.767586591857523,1.4967542337315825
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,49,1767938510206812825,1767938510457061825,250,955.629,752.855,8.633988179817484,-11.68007862057052
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,50,1767938510492062825,1767938510587188825,95,993.786,742.671,11.116709909827243,-10.993111030665498
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,51,1767938510707311825,1767938510942561825,235,979.446,736.729,10.171787306219347,-10.625555735167486
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,52,1767938511107697825,1767938511422935825,315,976.513,738.643,9.982607667314397,-10.750840979858461
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,53,1767938511533069825,1767938512058569825,526,858.846,377.261,2.294379124562363,12.587970818423225
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,54,1767938512243684825,1767938512709183825,465,934.497,752.969,7.24937591106175,-11.702976751799971
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,55,1767938512919307825,1767938513054447825,135,936.828,847.638,7.530819668374658,-17.766447176433648
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,56,1767938513094557825,1767938513409807825,315,941.897,767.982,7.751365874804763,-12.661650892170167
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,57,1767938513429807825,1767938514225555825,796,940.084,727.735,7.590669201933999,-10.07694665150769
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,58,1767938514380680825,1767938514625937825,245,908.718,767.183,5.570772126554789,-12.632307703241876
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,59,1767938514826179825,1767938515441678825,615,485.048,688.193,-21.933443058270697,-7.318985460715238
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,60,1767938515511811825,1767938515802053825,290,795.714,715.09,-1.8478573346965999,-9.292039483967656
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,61,1767938515847053825,1767938516072302825,225,900.107,746.002,4.9894232804841385,-11.273916289210534
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,62,1767938516377552825,1767938516452677825,75,600.33,744.735,-14.605967712427953,-11.049490688771932
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,63,1767938516467676825,1767938516973176825,506,543.924,742.995,-18.258044554927732,-10.855972853668204
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,64,1767938517473550825,1767938517553675825,80,1170.999,723.961,22.605811105182923,-9.568048560537058
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,65,1767938517583675825,1767938517653800825,70,1231.223,726.886,26.52066235698709,-9.645005363338594
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,66,1767938517743799825,1767938517909051825,165,1330.152,734.86,33.000368804703854,-9.931961089333472
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,67,1767938517959049825,1767938518174299825,215,1253.62,848.669,28.580028104945466,-17.114082127850498
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,68,1767938518394423825,1767938518739802825,345,1078.138,993.608,17.692777710498316,-26.734586994889966
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,69,1767938518794798825,1767938518944923825,150,1037.178,921.347,14.486042515821683,-22.287879239949692
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,70,1767938519050047825,1767938519135172825,85,1025.533,941.03,13.780995050461598,-23.55956927493596
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,71,1767938519170172825,1767938519375422825,205,1038.513,881.142,14.414248621866374,-19.741255984621038
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,72,1767938519575546825,1767938519720671825,145,970.34,866.695,9.807110850570774,-18.94210466887709
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,73,1767938519735671825,1767938519870796825,135,940.966,874.83,7.857496535522871,-19.49764087900771
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,74,1767938519885796825,1767938520035921825,150,956.119,853.194,8.827415496145315,-18.09980825283654
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,75,1767938520266172825,1767938522102917825,1837,969.319,842.089,9.6835825121636,-17.375064889773327
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,76,1767938522117917825,1767938522878555825,761,967.926,981.897,9.990800858415689,-26.268736232088227
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,77,1767938523098790825,1767938523444165825,345,913.326,380.848,5.875816662826627,12.336669744630845
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,78,1767938523489165825,1767938524114798825,626,845.769,424.769,1.423098857190464,9.517993021296176
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,79,1767938524139789825,1767938524455049825,315,815.24,473.903,-0.5719473391945711,6.3354885315015474
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,80,1767938524530163825,1767938524850413825,320,1058.313,498.335,15.197205402945592,4.691045756501621
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,81,1767938524900544825,1767938525085662825,185,972.984,376.93,9.800860048744727,12.545799264011725
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,82,1767938525165787825,1767938525395912825,230,1256.04,486.466,27.966688506823093,5.296281381347186
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,83,1767938525526037825,1767938525666173825,140,626.028,685.981,-12.857795883157161,-7.3288427479718745
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,84,1767938525716286825,1767938525916411825,200,603.025,776.284,-14.49454832248095,-13.058861251710562
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,85,1767938525936421825,1767938527027409825,1091,686.492,718.275,-8.969855664447962,-9.446971073230483
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,86,1767938527167659825,1767938527337784825,170,972.074,1006.859,10.378167442107031,-27.846155590348744
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,87,1767938527357783825,1767938527507908825,150,933.944,928.381,7.498498988975292,-22.917778312458143
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,88,1767938527653033825,1767938528188532825,535,902.522,920.793,5.346650208966853,-22.466873998530794
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,89,1767938528248657825,1767938528844156825,595,928.027,660.999,6.760862141042077,-5.780992550690729
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,90,1767938528889156825,1767938529084413825,195,901.56,833.333,5.162920243464557,-16.880580999258182
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,91,1767938529109408825,1767938529249530825,140,907.491,872.404,5.608171216457409,-19.37505883415459
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,92,1767938529269530825,1767938529609905825,340,905.274,851.539,5.431898942094346,-18.043135905414736
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,93,1767938529790029825,1767938529900154825,110,954.53,852.204,8.719474112121892,-18.038571743292927
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,94,1767938529990279825,1767938530765903825,776,1039.067,830.592,14.28275686346282,-16.536208172769165
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,95,1767938530796028825,1767938531536652825,741,943.686,835.273,7.96623080944855,-16.96938567355586
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,96,1767938531576652825,1767938531671776825,95,991.741,790.827,11.063311465321956,-14.075087155176403
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,97,1767938531711788825,1767938532792775825,1081,977.649,877.977,10.324834916578544,-19.6497481246177
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,98,1767938532847900825,1767938533023024825,175,969.498,815.789,9.642911410428045,-15.696059749551212
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,99,1767938533058024825,1767938533903898825,846,992.758,827.119,11.20654040252152,-16.38914766717789
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,100,1767938534054023825,1767938534284147825,230,1009.511,381.122,12.190443569241785,12.239887569756755
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,101,1767938534394272825,1767938534729647825,335,813.085,504.944,-0.7112620831940074,4.322633216374868
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,102,1767938534789646825,1767938535210021825,420,891.525,517.276,4.3818230453846345,3.519620023337774
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,103,1767938535295146825,1767938535600397825,305,1083.601,456.371,16.883786319347983,7.352864162730055
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,104,1767938535680520825,1767938535790645825,110,1217.46,441.712,25.57789655927633,8.1255034554783
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,105,1767938535830658825,1767938536010770825,180,1080.847,423.406,16.76363994349768,9.455973112061235
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,106,1767938536065894825,1767938536306144825,240,1029.287,400.455,13.448453673473935,10.979771893219333
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,107,1767938536346144825,1767938536521269825,175,1005.477,351.208,11.985713548983215,14.161160403948909
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,108,1767938536801530825,1767938536956643825,155,594.853,426.735,-14.925358261079397,9.260894528155386
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,109,1767938537001768825,1767938537146893825,145,819.469,405.7,-0.2969482464130794,10.752170517952273
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,110,1767938537201893825,1767938537382142825,180,730.832,526.852,-6.043556934974424,2.894755049625631
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,111,1767938537482142825,1767938537852517825,370,904.737,544.696,5.23441803114868,1.7417603652014852
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,112,1767938537907517825,1767938538368016825,460,1004.244,699.062,11.7418719071981,-8.189496217004606
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,113,1767938538433016825,1767938538678266825,245,971.184,502.537,9.555057349749656,4.4567642051576275
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,114,1767938538818395825,1767938539038640825,220,627.662,554.25,-12.69771140811727,1.1151623733212683
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,115,1767938539098640825,1767938539283889825,185,673.208,526.492,-9.769781613151075,2.907786737689439
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,116,1767938539338890825,1767938539934518825,596,870.814,421.455,3.0622578079866547,9.72885437639996
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,117,1767938540054513825,1767938540354888825,300,920.925,490.282,6.299106266227088,5.262737057776022
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,118,1767938540389888825,1767938540900387825,510,840.532,464.645,1.0753586092517247,6.935662297882251
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,119,1767938540940397825,1767938541240641825,300,949.644,436.714,8.202130286441452,8.712941504755051
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,120,1767938541350761825,1767938541771136825,420,1027.024,655.503,13.176669439735885,-5.381235977915779
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,121,1767938541831261825,1767938542036385825,205,1047.208,514.046,14.467498428456803,3.6901756018541785
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,122,1767938542081390825,1767938542982259825,901,851.144,451.431,1.7690476555741645,7.791194120692381
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,123,1767938543032384825,1767938543167509825,135,942.15,518.473,7.665955168118476,3.4346861975538387
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,124,1767938543217509825,1767938543597883825,380,1031.919,561.193,13.461429388687627,0.6699430367304959
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,125,1767938543652883825,1767938543883133825,230,931.132,384.839,7.041824738548136,12.068966205519894
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,126,1767938543943133825,1767938544153382825,210,746.797,414.102,-5.051664970537005,10.190665019665508
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,127,1767938544283511825,1767938544638886825,355,600.899,495.893,-14.449287502770707,4.846642984644039
2754dde7-b1e1-4c14-90c1-50dd4c269296,bb6321df-01b1-4b49-afa4-ec491ce2c361,128,1767938544723882825,1767938544919131825,195,558.398,497.563,-17.180152539044215,4.7159759754166055
